Model selection results for subset: aedb14d3602c519696ef4cc5ff322a1c
Subset alignment stored here: ./analysis/phylofiles/aedb14d3602c519696ef4cc5ff322a1c.phy
This subset contains the following data_blocks: gene20, gene4, gene1, gene6
Number of columns in subset: 4
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
PMB+I+G         | 2               | -394.15524      | 804.3105         | 792.3105        | 791.08307      
HIVB            | 0               | -402.38855      | 804.7771         | 804.7771        | 804.7771       
JTTDCMUT+I+G    | 2               | -394.6392       | 805.2784         | 793.2784        | 792.05096      
CPREV+I+G       | 2               | -394.9061       | 805.8122         | 793.8122        | 792.5848       
JTT+I+G         | 2               | -395.02676      | 806.0535         | 794.0535        | 792.8261       
DAYHOFF         | 0               | -403.33023      | 806.66046        | 806.66046       | 806.66046      
DCMUT           | 0               | -403.36133      | 806.72266        | 806.72266       | 806.72266      
HIVB+G          | 1               | -402.99597      | 809.99194        | 807.99194       | 807.37823      
FLU             | 0               | -405.44366      | 810.8873         | 810.8873        | 810.8873       
DAYHOFF+G       | 1               | -403.69543      | 811.39087        | 809.39087       | 808.77716      
DCMUT+G         | 1               | -403.72385      | 811.4477         | 809.4477        | 808.834        
FLU+G           | 1               | -405.84915      | 815.6983         | 813.6983        | 813.0846       
HIVB+I+G        | 2               | -402.41367      | 820.82733        | 808.82733       | 807.5999       
MTZOA           | 0               | -410.71912      | 821.43823        | 821.43823       | 821.43823      
DAYHOFF+I+G     | 2               | -403.3569       | 822.7138         | 810.7138        | 809.4864       
DCMUT+I+G       | 2               | -403.38812      | 822.77625        | 810.77625       | 809.5488       
MTZOA+G         | 1               | -410.6435       | 825.287          | 823.287         | 822.6733       
STMTREV         | 0               | -413.30063      | 826.60126        | 826.60126       | 826.60126      
FLU+I+G         | 2               | -405.46234      | 826.9247         | 814.9247        | 813.69727      
MTREV           | 0               | -415.03122      | 830.06244        | 830.06244       | 830.06244      
MTREV+G         | 1               | -415.30862      | 834.61725        | 832.61725       | 832.00354      
MTZOA+I+G       | 2               | -410.6236       | 837.2472         | 825.2472        | 824.0198       
STMTREV+G       | 1               | -416.7798       | 837.5596         | 835.5596        | 834.94586      
HIVW            | 0               | -419.64197      | 839.28394        | 839.28394       | 839.28394      
STMTREV+I+G     | 2               | -413.3005       | 842.601          | 830.601         | 829.3736       
MTART           | 0               | -421.4633       | 842.9266         | 842.9266        | 842.9266       
HIVW+G          | 1               | -419.80634      | 843.6127         | 841.6127        | 840.99896      
MTREV+I+G       | 2               | -415.0405       | 846.081          | 834.081         | 832.8536       
MTART+G         | 1               | -421.21826      | 846.4365         | 844.4365        | 843.8228       
MTMAM           | 0               | -424.43842      | 848.87683        | 848.87683       | 848.87683      
MTMAM+G         | 1               | -423.61014      | 851.2203         | 849.2203        | 848.60657      
HIVW+I+G        | 2               | -419.56552      | 855.13104        | 843.13104       | 841.9036       
MTART+I+G       | 2               | -421.21823      | 858.43646        | 846.43646       | 845.20905      
MTMAM+I+G       | 2               | -423.6077       | 863.2154         | 851.2154        | 849.988        
LG4X            | 6               | -397.80185      | 891.6037         | 807.6037        | 803.92145      
LG+F            | 19              | -386.3474       | 1570.6948        | 810.6948        | 799.0344       
RTREV+F         | 19              | -391.07126      | 1580.1426        | 820.1425        | 808.4821       
VT+F            | 19              | -392.77835      | 1583.5566        | 823.5567        | 811.8963       
WAG+F           | 19              | -393.45493      | 1584.9099        | 824.90985       | 813.24945      
BLOSUM62+F      | 19              | -393.58926      | 1585.1785        | 825.1785        | 813.5181       
PMB+F           | 19              | -394.12326      | 1586.2466        | 826.2465        | 814.5861       
JTTDCMUT+F      | 19              | -394.60587      | 1587.2117        | 827.21173       | 815.55133      
CPREV+F         | 19              | -394.8909       | 1587.7817        | 827.7818        | 816.1214       
JTT+F           | 19              | -394.99368      | 1587.9873        | 827.98737       | 816.32697      
HIVB+F          | 19              | -402.38855      | 1602.7771        | 842.7771        | 831.1167       
DAYHOFF+F       | 19              | -403.33023      | 1604.6604        | 844.66046       | 833.00006      
DCMUT+F         | 19              | -403.36133      | 1604.7227        | 844.72266       | 833.06226      
FLU+F           | 19              | -405.44366      | 1608.8873        | 848.8873        | 837.2269       
MTZOA+F         | 19              | -410.71912      | 1619.4382        | 859.43823       | 847.77783      
STMTREV+F       | 19              | -413.30063      | 1624.6013        | 864.60126       | 852.94086      
MTREV+F         | 19              | -415.03122      | 1628.0625        | 868.06244       | 856.40204      
HIVW+F          | 19              | -419.64197      | 1637.2839        | 877.28394       | 865.62354      
MTART+F         | 19              | -421.4633       | 1640.9265        | 880.9266        | 869.2662       
MTMAM+F         | 19              | -424.43842      | 1646.8768        | 886.87683       | 875.21643      
RTREV+G+F       | 20              | -393.3183       | 1666.6366        | 826.6366        | 814.3625       
LG+G+F          | 20              | -393.44055      | 1666.8811        | 826.8811        | 814.607        
VT+G+F          | 20              | -393.45816      | 1666.9163        | 826.9163        | 814.6422       
JTTDCMUT+G+F    | 20              | -393.71878      | 1667.4375        | 827.43756       | 815.16345      
JTT+G+F         | 20              | -394.0226       | 1668.0452        | 828.0452        | 815.7711       
WAG+G+F         | 20              | -394.14105      | 1668.2821        | 828.2821        | 816.008        
PMB+G+F         | 20              | -395.8339       | 1671.6677        | 831.6678        | 819.3937       
BLOSUM62+G+F    | 20              | -396.2994       | 1672.5989        | 832.5988        | 820.3247       
MTZOA+G+F       | 20              | -399.6565       | 1679.313         | 839.313         | 827.0389       
MTREV+G+F       | 20              | -399.8066       | 1679.6133        | 839.6132        | 827.3391       
CPREV+G+F       | 20              | -399.9623       | 1679.9246        | 839.9246        | 827.6505       
DCMUT+G+F       | 20              | -400.09534      | 1680.1907        | 840.1907        | 827.91656      
DAYHOFF+G+F     | 20              | -400.13666      | 1680.2733        | 840.2733        | 827.9992       
MTART+G+F       | 20              | -405.9662       | 1691.9324        | 851.9324        | 839.65826      
MTMAM+G+F       | 20              | -407.8757       | 1695.7515        | 855.7514        | 843.4773       
HIVW+G+F        | 20              | -408.59448      | 1697.189         | 857.18896       | 844.91486      
HIVB+G+F        | 20              | -409.36496      | 1698.73          | 858.7299        | 846.4558       
FLU+G+F         | 20              | -412.12668      | 1704.2534        | 864.25336       | 851.97925      
STMTREV+G+F     | 20              | -412.3147       | 1704.6294        | 864.6294        | 852.3553       
RTREV+I+G+F     | 21              | -392.97708      | 1751.9541        | 827.95416       | 815.06635      
LG+I+G+F        | 21              | -393.08582      | 1752.1716        | 828.17163       | 815.2838       
VT+I+G+F        | 21              | -393.10754      | 1752.2151        | 828.2151        | 815.3273       
JTTDCMUT+I+G+F  | 21              | -393.40314      | 1752.8063        | 828.8063        | 815.91846      
JTT+I+G+F       | 21              | -393.7028       | 1753.4055        | 829.4056        | 816.51776      
WAG+I+G+F       | 21              | -394.08047      | 1754.1609        | 830.16095       | 817.27313      
PMB+I+G+F       | 21              | -395.47983      | 1756.9597        | 832.95966       | 820.07184      
BLOSUM62+I+G+F  | 21              | -395.95755      | 1757.915         | 833.9151        | 821.0273       
MTZOA+I+G+F     | 21              | -399.45242      | 1764.9048        | 840.90485       | 828.017        
MTREV+I+G+F     | 21              | -399.54297      | 1765.0859        | 841.08594       | 828.1981       
CPREV+I+G+F     | 21              | -399.59177      | 1765.1836        | 841.18353       | 828.2957       
DCMUT+I+G+F     | 21              | -399.72748      | 1765.455         | 841.45496       | 828.56714      
DAYHOFF+I+G+F   | 21              | -399.76788      | 1765.5358        | 841.53577       | 828.64795      
HIVB+I+G+F      | 21              | -403.9464       | 1773.8928        | 849.8928        | 837.005        
HIVW+I+G+F      | 21              | -405.25958      | 1776.5192        | 852.51917       | 839.63135      
MTART+I+G+F     | 21              | -405.7504       | 1777.5007        | 853.5008        | 840.613        
MTMAM+I+G+F     | 21              | -407.80783      | 1781.6157        | 857.61566       | 844.72784      
FLU+I+G+F       | 21              | -407.82974      | 1781.6594        | 857.6595        | 844.77167      
STMTREV+I+G+F   | 21              | -411.065        | 1788.13          | 864.13          | 851.2422       
