Model selection results for subset: 49d6c0c6f3f7529e7bc27f9c7076e2e8
Subset alignment stored here: ./analysis/phylofiles/49d6c0c6f3f7529e7bc27f9c7076e2e8.phy
This subset contains the following data_blocks: gene9, gene12
Number of columns in subset: 2
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
HIVB            | 0               | -193.89659      | 387.79318        | 387.79318       | 387.79318      
VT+I+G          | 2               | -186.39673      | 388.79346        | 376.79346       | 374.17975      
BLOSUM62+I+G    | 2               | -186.5178       | 389.0356         | 377.0356        | 374.4219       
FLU+G           | 1               | -192.74103      | 391.48206        | 387.48206       | 386.1752       
JTTDCMUT+I+G    | 2               | -188.06686      | 392.13373        | 380.13373       | 377.52002      
JTT+I+G         | 2               | -188.13348      | 392.26697        | 380.26697       | 377.65326      
CPREV+I+G       | 2               | -188.20187      | 392.40375        | 380.40375       | 377.79004      
DCMUT+I+G       | 2               | -188.31955      | 392.6391         | 380.6391        | 378.0254       
DAYHOFF+I+G     | 2               | -188.32268      | 392.64536        | 380.64536       | 378.03165      
HIVB+G          | 1               | -194.40752      | 394.81503        | 390.81503       | 389.50818      
MTMAM+I+G       | 2               | -190.59128      | 397.18256        | 385.18256       | 382.56885      
FLU+I+G         | 2               | -192.6922       | 401.3844         | 389.3844        | 386.7707       
HIVB+I+G        | 2               | -193.91396      | 403.8279         | 391.8279        | 389.2142       
STMTREV         | 0               | -203.7865       | 407.573          | 407.573         | 407.573        
STMTREV+G       | 1               | -204.17227      | 414.34454        | 410.34454       | 409.0377       
STMTREV+I+G     | 2               | -203.80061      | 423.60123        | 411.60123       | 408.98752      
HIVW            | 0               | -218.51898      | 437.03796        | 437.03796       | 437.03796      
HIVW+G          | 1               | -218.90427      | 443.80853        | 439.80853       | 438.50168      
HIVW+I+G        | 2               | -218.53235      | 453.0647         | 441.0647        | 438.451        
LG4X            | 6               | -184.66716      | 465.33432        | 381.33432       | 373.4932       
MTZOA+F         | 19              | -179.139        | 1156.2781        | 396.278         | 371.4478       
LG+F            | 19              | -182.68802      | 1163.376         | 403.37604       | 378.54584      
MTART+F         | 19              | -183.78818      | 1165.5764        | 405.57635       | 380.74615      
WAG+F           | 19              | -184.79124      | 1167.5825        | 407.5825        | 382.7523       
MTREV+F         | 19              | -184.95209      | 1167.9042        | 407.90417       | 383.07397      
RTREV+F         | 19              | -185.0886       | 1168.1772        | 408.1772        | 383.347        
PMB+F           | 19              | -185.13094      | 1168.2618        | 408.26187       | 383.43167      
VT+F            | 19              | -186.38051      | 1170.761         | 410.76102       | 385.93082      
BLOSUM62+F      | 19              | -186.50212      | 1171.0043        | 411.00424       | 386.17404      
JTTDCMUT+F      | 19              | -188.05106      | 1174.102         | 414.1021        | 389.2719       
JTT+F           | 19              | -188.11783      | 1174.2356        | 414.23566       | 389.40546      
CPREV+F         | 19              | -188.18619      | 1174.3723        | 414.37238       | 389.54218      
DCMUT+F         | 19              | -188.31055      | 1174.6211        | 414.6211        | 389.7909       
DAYHOFF+F       | 19              | -188.31374      | 1174.6274        | 414.62747       | 389.79727      
MTMAM+F         | 19              | -190.58524      | 1179.1704        | 419.17047       | 394.34027      
FLU+F           | 19              | -192.67552      | 1183.3511        | 423.35104       | 398.52084      
HIVB+F          | 19              | -193.89659      | 1185.7932        | 425.79318       | 400.96298      
STMTREV+F       | 19              | -203.7865       | 1205.573         | 445.573         | 420.7428       
HIVW+F          | 19              | -218.51898      | 1235.038         | 475.03796       | 450.20776      
MTZOA+G+F       | 20              | -178.26878      | 1236.5376        | 396.53757       | 370.4005       
DAYHOFF+G+F     | 20              | -178.64339      | 1237.2867        | 397.28677       | 371.14972      
DCMUT+G+F       | 20              | -178.66823      | 1237.3364        | 397.33646       | 371.1994       
VT+G+F          | 20              | -179.01843      | 1238.0369        | 398.03687       | 371.8998       
PMB+G+F         | 20              | -179.3687       | 1238.7374        | 398.7374        | 372.60034      
JTT+G+F         | 20              | -180.14165      | 1240.2833        | 400.2833        | 374.14624      
MTREV+G+F       | 20              | -180.38222      | 1240.7644        | 400.76443       | 374.62738      
CPREV+G+F       | 20              | -180.60011      | 1241.2002        | 401.20023       | 375.06317      
WAG+G+F         | 20              | -181.35371      | 1242.7074        | 402.70743       | 376.57037      
JTTDCMUT+G+F    | 20              | -181.37695      | 1242.7539        | 402.7539        | 376.61685      
BLOSUM62+G+F    | 20              | -182.21692      | 1244.4338        | 404.43384       | 378.29678      
LG+G+F          | 20              | -182.9276       | 1245.8552        | 405.8552        | 379.71814      
MTART+G+F       | 20              | -183.19629      | 1246.3926        | 406.39258       | 380.25552      
RTREV+G+F       | 20              | -185.0316       | 1250.0632        | 410.0632        | 383.92615      
STMTREV+G+F     | 20              | -188.95093      | 1257.9019        | 417.90186       | 391.7648       
MTMAM+G+F       | 20              | -189.8014       | 1259.6028        | 419.6028        | 393.46576      
FLU+G+F         | 20              | -190.31738      | 1260.6348        | 420.63477       | 394.4977       
HIVB+G+F        | 20              | -192.76451      | 1265.529         | 425.52902       | 399.39197      
HIVW+G+F        | 20              | -192.84132      | 1265.6826        | 425.68265       | 399.5456       
MTZOA+I+G+F     | 21              | -178.07863      | 1322.1572        | 398.15726       | 370.71335      
DAYHOFF+I+G+F   | 21              | -178.39         | 1322.78          | 398.78          | 371.3361       
DCMUT+I+G+F     | 21              | -178.41652      | 1322.833         | 398.83304       | 371.38913      
CPREV+I+G+F     | 21              | -178.67653      | 1323.353         | 399.35306       | 371.90915      
VT+I+G+F        | 21              | -178.83647      | 1323.673         | 399.67294       | 372.22903      
PMB+I+G+F       | 21              | -179.00154      | 1324.003         | 400.00308       | 372.55917      
JTT+I+G+F       | 21              | -179.47314      | 1324.9463        | 400.9463        | 373.50238      
WAG+I+G+F       | 21              | -179.54526      | 1325.0906        | 401.0905        | 373.6466       
JTTDCMUT+I+G+F  | 21              | -179.68254      | 1325.3651        | 401.36508       | 373.92117      
MTREV+I+G+F     | 21              | -179.8765       | 1325.7529        | 401.753         | 374.30908      
BLOSUM62+I+G+F  | 21              | -180.43692      | 1326.8738        | 402.87384       | 375.42993      
LG+I+G+F        | 21              | -181.49861      | 1328.9972        | 404.99722       | 377.5533       
MTART+I+G+F     | 21              | -182.89882      | 1331.7976        | 407.79764       | 380.35373      
RTREV+I+G+F     | 21              | -183.33572      | 1332.6714        | 408.67145       | 381.22754      
STMTREV+I+G+F   | 21              | -186.28972      | 1338.5795        | 414.57944       | 387.13553      
MTMAM+I+G+F     | 21              | -188.24054      | 1342.4811        | 418.48108       | 391.03717      
FLU+I+G+F       | 21              | -189.34973      | 1344.6995        | 420.69946       | 393.25555      
HIVW+I+G+F      | 21              | -190.10376      | 1346.2075        | 422.20752       | 394.7636       
HIVB+I+G+F      | 21              | -192.32095      | 1350.6418        | 426.6419        | 399.198        
