Model selection results for subset: f929b949f2b39b737395b4c6b5cda901
Subset alignment stored here: ./analysis/phylofiles/f929b949f2b39b737395b4c6b5cda901.phy
This subset contains the following data_blocks: gene3, gene8
Number of columns in subset: 2
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
PMB+G+F         | 20              | -166.87592      | 1213.7518        | 373.75183       | 347.61478      
CPREV+G+F       | 20              | -168.05058      | 1216.1012        | 376.10117       | 349.9641       
WAG+G+F         | 20              | -168.43399      | 1216.8679        | 376.86798       | 350.73093      
STMTREV+G+F     | 20              | -168.4701       | 1216.9402        | 376.9402        | 350.80313      
RTREV+G+F       | 20              | -169.55687      | 1219.1138        | 379.11374       | 352.97668      
MTREV+G+F       | 20              | -169.9472       | 1219.8944        | 379.8944        | 353.75735      
LG+G+F          | 20              | -171.11768      | 1222.2354        | 382.23535       | 356.0983       
FLU+G+F         | 20              | -171.23938      | 1222.4788        | 382.47876       | 356.3417       
HIVB+G+F        | 20              | -171.81392      | 1223.6278        | 383.62784       | 357.49078      
HIVW+G+F        | 20              | -172.05147      | 1224.1029        | 384.10294       | 357.96588      
MTZOA+G+F       | 20              | -172.31996      | 1224.6399        | 384.63992       | 358.50287      
MTMAM+G+F       | 20              | -172.67665      | 1225.3533        | 385.3533        | 359.21625      
MTART+G+F       | 20              | -173.91495      | 1227.8298        | 387.8299        | 361.69284      
CPREV+I+G+F     | 21              | -165.52539      | 1297.0508        | 373.05078       | 345.60687      
VT+I+G+F        | 21              | -166.14685      | 1298.2937        | 374.2937        | 346.8498       
DCMUT+I+G+F     | 21              | -166.19165      | 1298.3833        | 374.3833        | 346.9394       
DAYHOFF+I+G+F   | 21              | -166.22693      | 1298.4539        | 374.45386       | 347.00995      
JTTDCMUT+I+G+F  | 21              | -166.23837      | 1298.4768        | 374.47675       | 347.03284      
JTT+I+G+F       | 21              | -166.2521       | 1298.5042        | 374.5042        | 347.0603       
BLOSUM62+I+G+F  | 21              | -166.41368      | 1298.8274        | 374.82736       | 347.38345      
PMB+I+G+F       | 21              | -166.49466      | 1298.9893        | 374.98932       | 347.5454       
WAG+I+G+F       | 21              | -168.03319      | 1302.0664        | 378.06638       | 350.62247      
STMTREV+I+G+F   | 21              | -168.35197      | 1302.704         | 378.70395       | 351.26004      
HIVB+I+G+F      | 21              | -169.17453      | 1304.3491        | 380.34906       | 352.90515      
RTREV+I+G+F     | 21              | -169.18971      | 1304.3794        | 380.37943       | 352.93552      
MTREV+I+G+F     | 21              | -169.62918      | 1305.2583        | 381.25836       | 353.81445      
LG+I+G+F        | 21              | -170.84917      | 1307.6984        | 383.69833       | 356.25443      
FLU+I+G+F       | 21              | -170.94666      | 1307.8933        | 383.8933        | 356.4494       
HIVW+I+G+F      | 21              | -172.02278      | 1310.0455        | 386.04556       | 358.60165      
MTZOA+I+G+F     | 21              | -172.06047      | 1310.121         | 386.12094       | 358.67703      
MTMAM+I+G+F     | 21              | -172.38806      | 1310.7761        | 386.77612       | 359.3322       
MTART+I+G+F     | 21              | -173.7249       | 1313.4498        | 389.4498        | 362.0059       
