Model selection results for subset: 82779a05806adededf9a61d03c56e753
Subset alignment stored here: ./analysis/phylofiles/82779a05806adededf9a61d03c56e753.phy
This subset contains the following data_blocks: gene15
Number of columns in subset: 1
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
VT+I+G+F        | 21              | -120.96888      | 1207.9377        | 283.93774       | 241.93776      
BLOSUM62+I+G+F  | 21              | -121.01024      | 1208.0205        | 284.02048       | 242.02048      
WAG+I+G+F       | 21              | -121.37601      | 1208.752         | 284.752         | 242.75201      
PMB+I+G+F       | 21              | -121.71154      | 1209.4231        | 285.4231        | 243.42308      
DCMUT+I+G+F     | 21              | -122.10027      | 1210.2006        | 286.20056       | 244.20055      
DAYHOFF+I+G+F   | 21              | -122.10942      | 1210.2189        | 286.21884       | 244.21884      
CPREV+I+G+F     | 21              | -122.61419      | 1211.2284        | 287.2284        | 245.22838      
MTZOA+I+G+F     | 21              | -123.58185      | 1213.1637        | 289.1637        | 247.1637       
HIVB+I+G+F      | 21              | -124.10668      | 1214.2134        | 290.21338       | 248.21336      
MTMAM+I+G+F     | 21              | -125.34735      | 1216.6947        | 292.6947        | 250.6947       
MTREV+I+G+F     | 21              | -125.64811      | 1217.2963        | 293.2962        | 251.29622      
MTART+I+G+F     | 21              | -126.40674      | 1218.8135        | 294.81348       | 252.81348      
