Model selection results for subset: ae5529f1397c178880640b46146545ee
Subset alignment stored here: ./analysis/phylofiles/ae5529f1397c178880640b46146545ee.phy
This subset contains the following data_blocks: gene2, gene7, gene13, gene11
Number of columns in subset: 4
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
HIVW+F          | 19              | -12.399357      | 822.7987         | 62.798714       | 51.138306      
LG+F            | 19              | -12.486547      | 822.9731         | 62.973095       | 51.312687      
JTT+F           | 19              | -12.496054      | 822.9921         | 62.992107       | 51.3317        
JTTDCMUT+F      | 19              | -12.520247      | 823.04047        | 63.040497       | 51.38009       
VT+F            | 19              | -12.534989      | 823.07           | 63.069977       | 51.409573      
WAG+F           | 19              | -12.602937      | 823.2059         | 63.20587        | 51.545467      
PMB+F           | 19              | -12.700447      | 823.4009         | 63.400894       | 51.740486      
CPREV+F         | 19              | -12.832454      | 823.6649         | 63.66491        | 52.0045        
BLOSUM62+F      | 19              | -13.047313      | 824.0946         | 64.09463        | 52.43422       
STMTREV+F       | 19              | -13.228071      | 824.4561         | 64.45615        | 52.795734      
DCMUT+F         | 19              | -13.23555       | 824.47107        | 64.4711         | 52.81069       
DAYHOFF+F       | 19              | -13.235555      | 824.4711         | 64.47111        | 52.810703      
MTART+F         | 19              | -13.34645       | 824.6929         | 64.6929         | 53.032494      
MTZOA+F         | 19              | -13.46744       | 824.9349         | 64.934875       | 53.27447       
MTREV+F         | 19              | -13.6317        | 825.2634         | 65.2634         | 53.602993      
MTMAM+F         | 19              | -13.647835      | 825.29565        | 65.29567        | 53.63526       
MTMAM+G+F       | 20              | -9.287505       | 898.575          | 58.575012       | 46.300896      
HIVB+G+F        | 20              | -9.287605       | 898.5752         | 58.57521        | 46.301098      
MTREV+G+F       | 20              | -9.287832       | 898.5757         | 58.575665       | 46.30155       
LG+G+F          | 20              | -9.287895       | 898.5758         | 58.57579        | 46.301678      
MTART+G+F       | 20              | -9.287895       | 898.5758         | 58.57579        | 46.301678      
RTREV+G+F       | 20              | -9.28796        | 898.5759         | 58.57592        | 46.301807      
FLU+G+F         | 20              | -9.288017       | 898.57605        | 58.576035       | 46.30192       
MTZOA+G+F       | 20              | -9.288049       | 898.5761         | 58.576096       | 46.301983      
JTT+G+F         | 20              | -9.288079       | 898.5762         | 58.576157       | 46.302044      
JTTDCMUT+G+F    | 20              | -9.288105       | 898.57623        | 58.57621        | 46.302097      
HIVW+G+F        | 20              | -9.288166       | 898.57635        | 58.576332       | 46.30222       
VT+G+F          | 20              | -9.288236       | 898.5765         | 58.57647        | 46.302357      
PMB+G+F         | 20              | -9.288287       | 898.5766         | 58.576576       | 46.30246       
STMTREV+G+F     | 20              | -9.28835        | 898.5767         | 58.5767         | 46.302586      
BLOSUM62+G+F    | 20              | -9.288446       | 898.5769         | 58.576893       | 46.30278       
WAG+G+F         | 20              | -9.288474       | 898.57697        | 58.57695        | 46.302834      
CPREV+G+F       | 20              | -9.288744       | 898.5775         | 58.577488       | 46.303375      
DAYHOFF+G+F     | 20              | -9.288812       | 898.57764        | 58.57762        | 46.30351       
DCMUT+G+F       | 20              | -9.288809       | 898.57764        | 58.577618       | 46.303505      
MTMAM+I+G+F     | 21              | -9.287505       | 984.575          | 60.575012       | 47.68719       
HIVB+I+G+F      | 21              | -9.287605       | 984.5752         | 60.57521        | 47.687393      
MTREV+I+G+F     | 21              | -9.287832       | 984.5757         | 60.575665       | 47.687847      
MTART+I+G+F     | 21              | -9.287895       | 984.5758         | 60.57579        | 47.687973      
LG+I+G+F        | 21              | -9.287895       | 984.5758         | 60.57579        | 47.687973      
RTREV+I+G+F     | 21              | -9.28796        | 984.5759         | 60.57592        | 47.688103      
FLU+I+G+F       | 21              | -9.288017       | 984.57605        | 60.576035       | 47.688217      
MTZOA+I+G+F     | 21              | -9.288049       | 984.5761         | 60.576096       | 47.68828       
JTT+I+G+F       | 21              | -9.288079       | 984.5762         | 60.576157       | 47.68834       
JTTDCMUT+I+G+F  | 21              | -9.288105       | 984.57623        | 60.57621        | 47.688393      
HIVW+I+G+F      | 21              | -9.288166       | 984.57635        | 60.576332       | 47.688515      
VT+I+G+F        | 21              | -9.288236       | 984.5765         | 60.57647        | 47.688652      
PMB+I+G+F       | 21              | -9.288287       | 984.5766         | 60.576576       | 47.688755      
STMTREV+I+G+F   | 21              | -9.28835        | 984.5767         | 60.5767         | 47.68888       
BLOSUM62+I+G+F  | 21              | -9.288446       | 984.5769         | 60.576893       | 47.689075      
WAG+I+G+F       | 21              | -9.288474       | 984.57697        | 60.57695        | 47.68913       
CPREV+I+G+F     | 21              | -9.288744       | 984.5775         | 60.577488       | 47.68967       
DAYHOFF+I+G+F   | 21              | -9.288812       | 984.57764        | 60.57762        | 47.689804      
DCMUT+I+G+F     | 21              | -9.288809       | 984.57764        | 60.577618       | 47.6898        
