Model selection results for subset: 3d9177343bdb48e4f9deebea2df0802c
Subset alignment stored here: ./analysis/phylofiles/3d9177343bdb48e4f9deebea2df0802c.phy
This subset contains the following data_blocks: gene17, gene16, gene5
Number of columns in subset: 3
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
HIVW            | 0               | -195.6083       | 391.2166         | 391.2166        | 391.2166       
MTMAM           | 0               | -196.05133      | 392.10266        | 392.10266       | 392.10266      
MTREV+I+G       | 2               | -188.18044      | 392.36087        | 380.36087       | 378.5581       
MTART+I+G       | 2               | -190.06094      | 396.1219         | 384.1219        | 382.31912      
STMTREV+G       | 1               | -195.1301       | 396.2602         | 392.2602        | 391.3588       
HIVW+G          | 1               | -195.99936      | 397.99872        | 393.99872       | 393.09732      
MTMAM+G         | 1               | -196.4687       | 398.9374         | 394.9374        | 394.036        
STMTREV+I+G     | 2               | -194.64023      | 405.28046        | 393.28046       | 391.4777       
HIVW+I+G        | 2               | -195.62106      | 407.24213        | 395.24213       | 393.43936      
MTMAM+I+G       | 2               | -196.06494      | 408.12988        | 396.12988       | 394.32712      
LG4X            | 6               | -177.8636       | 451.7272         | 367.7272        | 362.31888      
LG+F            | 19              | -175.49005      | 1148.9801        | 388.9801        | 371.85373      
WAG+F           | 19              | -177.01286      | 1152.0258        | 392.02573       | 374.89935      
RTREV+F         | 19              | -177.59744      | 1153.1948        | 393.1949        | 376.0685       
CPREV+F         | 19              | -177.80367      | 1153.6073        | 393.60733       | 376.48096      
VT+F            | 19              | -177.90195      | 1153.804         | 393.8039        | 376.67752      
DAYHOFF+F       | 19              | -178.50905      | 1155.0181        | 395.0181        | 377.89172      
BLOSUM62+F      | 19              | -178.54143      | 1155.0829        | 395.08286       | 377.95648      
DCMUT+F         | 19              | -178.54666      | 1155.0933        | 395.09332       | 377.96695      
PMB+F           | 19              | -178.62167      | 1155.2434        | 395.24335       | 378.11697      
JTT+F           | 19              | -180.15216      | 1158.3043        | 398.30432       | 381.17795      
JTTDCMUT+F      | 19              | -180.26752      | 1158.535         | 398.53503       | 381.40866      
FLU+F           | 19              | -180.40813      | 1158.8163        | 398.81625       | 381.68988      
HIVB+F          | 19              | -182.51277      | 1163.0255        | 403.02554       | 385.89917      
MTZOA+F         | 19              | -185.19533      | 1168.3906        | 408.39066       | 391.26428      
MTREV+F         | 19              | -188.16727      | 1174.3345        | 414.33453       | 397.20816      
MTART+F         | 19              | -190.04732      | 1178.0946        | 418.09464       | 400.96826      
STMTREV+F       | 19              | -194.63127      | 1187.2626        | 427.26254       | 410.13617      
HIVW+F          | 19              | -195.6083       | 1189.2166        | 429.2166        | 412.09024      
MTMAM+F         | 19              | -196.05133      | 1190.1027        | 430.10266       | 412.9763       
CPREV+G+F       | 20              | -179.44672      | 1238.8934        | 398.89343       | 380.8657       
WAG+G+F         | 20              | -180.45358      | 1240.9072        | 400.90717       | 382.87943      
LG+G+F          | 20              | -181.16895      | 1242.3379        | 402.3379        | 384.31015      
DAYHOFF+G+F     | 20              | -181.63365      | 1243.2673        | 403.2673        | 385.23956      
VT+G+F          | 20              | -181.6845       | 1243.369         | 403.369         | 385.34125      
DCMUT+G+F       | 20              | -181.68602      | 1243.3721        | 403.37204       | 385.3443       
JTT+G+F         | 20              | -182.77065      | 1245.5413        | 405.5413        | 387.51355      
JTTDCMUT+G+F    | 20              | -182.81967      | 1245.6394        | 405.63934       | 387.6116       
MTREV+G+F       | 20              | -183.3613       | 1246.7227        | 406.7226        | 388.69485      
PMB+G+F         | 20              | -183.75587      | 1247.5117        | 407.51175       | 389.484        
MTZOA+G+F       | 20              | -184.00726      | 1248.0145        | 408.01453       | 389.9868       
BLOSUM62+G+F    | 20              | -184.28352      | 1248.567         | 408.56705       | 390.5393       
FLU+G+F         | 20              | -184.37744      | 1248.7549        | 408.75488       | 390.72714      
RTREV+G+F       | 20              | -186.3434       | 1252.6868        | 412.6868        | 394.65906      
HIVB+G+F        | 20              | -186.6363       | 1253.2726        | 413.2726        | 395.24487      
MTART+G+F       | 20              | -187.83115      | 1255.6624        | 415.6623        | 397.63455      
STMTREV+G+F     | 20              | -188.91223      | 1257.8245        | 417.82446       | 399.79672      
MTMAM+G+F       | 20              | -190.7314       | 1261.4628        | 421.4628        | 403.43506      
HIVW+G+F        | 20              | -195.93613      | 1271.8723        | 431.87225       | 413.8445       
CPREV+I+G+F     | 21              | -179.08862      | 1324.1772        | 400.17725       | 381.2481       
WAG+I+G+F       | 21              | -180.14685      | 1326.2937        | 402.2937        | 383.36456      
LG+I+G+F        | 21              | -180.96672      | 1327.9335        | 403.93344       | 385.0043       
DAYHOFF+I+G+F   | 21              | -181.09444      | 1328.1888        | 404.18887       | 385.25974      
DCMUT+I+G+F     | 21              | -181.17049      | 1328.341         | 404.34097       | 385.41183      
VT+I+G+F        | 21              | -181.53159      | 1329.0632        | 405.06317       | 386.13403      
JTT+I+G+F       | 21              | -182.51016      | 1331.0203        | 407.02032       | 388.0912       
JTTDCMUT+I+G+F  | 21              | -182.5697       | 1331.1394        | 407.1394        | 388.21027      
MTZOA+I+G+F     | 21              | -182.70367      | 1331.4073        | 407.40735       | 388.4782       
MTREV+I+G+F     | 21              | -182.98796      | 1331.976         | 407.97592       | 389.04678      
PMB+I+G+F       | 21              | -183.27812      | 1332.5563        | 408.55624       | 389.6271       
BLOSUM62+I+G+F  | 21              | -184.17049      | 1334.341         | 410.34097       | 391.41183      
FLU+I+G+F       | 21              | -184.18398      | 1334.3679        | 410.36795       | 391.4388       
RTREV+I+G+F     | 21              | -186.31787      | 1338.6357        | 414.63574       | 395.7066       
HIVB+I+G+F      | 21              | -186.42949      | 1338.859         | 414.85898       | 395.92984      
MTART+I+G+F     | 21              | -187.48204      | 1340.9641        | 416.96408       | 398.03494      
STMTREV+I+G+F   | 21              | -188.4768       | 1342.9536        | 418.9536        | 400.02448      
MTMAM+I+G+F     | 21              | -190.62967      | 1347.2593        | 423.25934       | 404.3302       
HIVW+I+G+F      | 21              | -194.77089      | 1355.5417        | 431.54178       | 412.61264      
