Model selection results for subset: 4d49f1b1a28d6ca49a380cac93543d8d
Subset alignment stored here: ./analysis/phylofiles/4d49f1b1a28d6ca49a380cac93543d8d.phy
This subset contains the following data_blocks: gene14
Number of columns in subset: 1
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
PMB+G           | 1               | -15.012722      | 36.025444        | 32.025444       | 30.025444      
MTMAM+G         | 1               | -15.058937      | 36.117874        | 32.117874       | 30.117874      
RTREV+G         | 1               | -15.097392      | 36.194786        | 32.194786       | 30.194784      
DAYHOFF+G       | 1               | -15.244556      | 36.489113        | 32.489113       | 30.489113      
DCMUT+G         | 1               | -15.244908      | 36.489815        | 32.489815       | 30.489817      
HIVB+G          | 1               | -15.367402      | 36.734802        | 32.734802       | 30.734804      
STMTREV+G       | 1               | -15.38229       | 36.76458         | 32.76458        | 30.76458       
FLU+G           | 1               | -15.615951      | 37.231903        | 33.231903       | 31.231901      
HIVW+G          | 1               | -16.397478      | 38.794956        | 34.794956       | 32.794956      
MTZOA+I+G       | 2               | -14.416148      | 44.8323          | 32.8323         | 28.832296      
MTART+I+G       | 2               | -14.551542      | 45.103085        | 33.103085       | 29.103085      
LG+I+G          | 2               | -14.59714       | 45.194283        | 33.194283       | 29.19428       
VT+I+G          | 2               | -14.762091      | 45.52418         | 33.52418        | 29.524181      
MTREV+I+G       | 2               | -14.770962      | 45.541924        | 33.541924       | 29.541924      
JTTDCMUT+I+G    | 2               | -14.779394      | 45.55879         | 33.55879        | 29.558788      
JTT+I+G         | 2               | -14.790873      | 45.581745        | 33.581745       | 29.581745      
CPREV+I+G       | 2               | -14.825711      | 45.65142         | 33.65142        | 29.651423      
BLOSUM62+I+G    | 2               | -14.854598      | 45.709198        | 33.709198       | 29.709196      
WAG+I+G         | 2               | -14.859867      | 45.719734        | 33.719734       | 29.719734      
PMB+I+G         | 2               | -14.914025      | 45.82805         | 33.82805        | 29.82805       
RTREV+I+G       | 2               | -14.929933      | 45.859863        | 33.859863       | 29.859865      
MTMAM+I+G       | 2               | -15.056537      | 46.113075        | 34.113075       | 30.113073      
DAYHOFF+I+G     | 2               | -15.196385      | 46.39277         | 34.39277        | 30.39277       
DCMUT+I+G       | 2               | -15.19657       | 46.393143        | 34.393143       | 30.39314       
HIVB+I+G        | 2               | -15.34514       | 46.69028         | 34.69028        | 30.69028       
STMTREV+I+G     | 2               | -15.382088      | 46.764175        | 34.764175       | 30.764175      
FLU+I+G         | 2               | -15.600045      | 47.20009         | 35.20009        | 31.20009       
HIVW+I+G        | 2               | -16.382608      | 48.765217        | 36.765217       | 32.765217      
LG4X            | 6               | -13.084811      | 122.169624       | 38.169624       | 26.169622      
MTZOA+F         | 19              | -14.415884      | 826.8318         | 66.83177        | 28.831768      
MTART+F         | 19              | -14.550914      | 827.1018         | 67.10183        | 29.101828      
LG+F            | 19              | -14.596415      | 827.1928         | 67.192825       | 29.19283       
VT+F            | 19              | -14.762242      | 827.5245         | 67.52448        | 29.524485      
MTREV+F         | 19              | -14.770304      | 827.5406         | 67.5406         | 29.540607      
JTTDCMUT+F      | 19              | -14.779958      | 827.55994        | 67.55991        | 29.559916      
JTT+F           | 19              | -14.791582      | 827.5832         | 67.58316        | 29.583164      
CPREV+F         | 19              | -14.825131      | 827.65027        | 67.65026        | 29.650263      
BLOSUM62+F      | 19              | -14.854126      | 827.70825        | 67.70825        | 29.708252      
WAG+F           | 19              | -14.860314      | 827.72064        | 67.72063        | 29.720629      
PMB+F           | 19              | -14.914042      | 827.82806        | 67.82809        | 29.828085      
RTREV+F         | 19              | -14.929253      | 827.8585         | 67.858505       | 29.858505      
MTMAM+F         | 19              | -15.055664      | 828.1113         | 68.11133        | 30.111328      
DAYHOFF+F       | 19              | -15.19883       | 828.39764        | 68.39766        | 30.39766       
DCMUT+F         | 19              | -15.198982      | 828.39795        | 68.397964       | 30.397964      
HIVB+F          | 19              | -15.344496      | 828.68896        | 68.688995       | 30.688992      
STMTREV+F       | 19              | -15.386796      | 828.7736         | 68.77359        | 30.773592      
FLU+F           | 19              | -15.617174      | 829.2344         | 69.234344       | 31.234348      
HIVW+F          | 19              | -16.381824      | 830.7637         | 70.76365        | 32.76365       
RTREV+G+F       | 20              | -10.289501      | 900.579          | 60.579002       | 20.579002      
MTZOA+G+F       | 20              | -10.306307      | 900.6126         | 60.612614       | 20.612614      
CPREV+G+F       | 20              | -10.308212      | 900.61646        | 60.616425       | 20.616425      
LG+G+F          | 20              | -10.365043      | 900.7301         | 60.730087       | 20.730085      
BLOSUM62+G+F    | 20              | -10.383608      | 900.7672         | 60.767216       | 20.767216      
MTREV+G+F       | 20              | -10.393934      | 900.78784        | 60.78787        | 20.787868      
DCMUT+G+F       | 20              | -10.397668      | 900.79535        | 60.795334       | 20.795336      
DAYHOFF+G+F     | 20              | -10.398017      | 900.796          | 60.796036       | 20.796034      
VT+G+F          | 20              | -10.411621      | 900.82324        | 60.823242       | 20.823242      
MTART+G+F       | 20              | -10.411762      | 900.82355        | 60.823524       | 20.823524      
FLU+G+F         | 20              | -10.412609      | 900.8252         | 60.82522        | 20.825218      
WAG+G+F         | 20              | -10.41851       | 900.83704        | 60.83702        | 20.83702       
PMB+G+F         | 20              | -10.420952      | 900.8419         | 60.841904       | 20.841904      
JTTDCMUT+G+F    | 20              | -10.436854      | 900.8737         | 60.87371        | 20.873709      
JTT+G+F         | 20              | -10.442245      | 900.88446        | 60.88449        | 20.88449       
STMTREV+G+F     | 20              | -10.449765      | 900.89954        | 60.89953        | 20.89953       
MTMAM+G+F       | 20              | -10.45487       | 900.9097         | 60.90974        | 20.90974       
HIVB+G+F        | 20              | -10.45665       | 900.9133         | 60.9133         | 20.9133        
HIVW+G+F        | 20              | -10.459666      | 900.9193         | 60.919334       | 20.919333      
RTREV+I+G+F     | 21              | -10.16702       | 986.33405        | 62.334038       | 20.33404       
MTZOA+I+G+F     | 21              | -10.192175      | 986.38434        | 62.38435        | 20.38435       
CPREV+I+G+F     | 21              | -10.227282      | 986.4546         | 62.454563       | 20.454563      
LG+I+G+F        | 21              | -10.285606      | 986.5712         | 62.571213       | 20.571213      
BLOSUM62+I+G+F  | 21              | -10.293713      | 986.5874         | 62.587425       | 20.587425      
MTREV+I+G+F     | 21              | -10.323595      | 986.6472         | 62.64719        | 20.64719       
MTART+I+G+F     | 21              | -10.343383      | 986.68677        | 62.686768       | 20.686766      
VT+I+G+F        | 21              | -10.351449      | 986.7029         | 62.702896       | 20.702898      
PMB+I+G+F       | 21              | -10.362891      | 986.72577        | 62.725784       | 20.725782      
DCMUT+I+G+F     | 21              | -10.364017      | 986.728          | 62.728035       | 20.728033      
DAYHOFF+I+G+F   | 21              | -10.364587      | 986.7292         | 62.72917        | 20.729174      
WAG+I+G+F       | 21              | -10.367773      | 986.73553        | 62.735546       | 20.735546      
FLU+I+G+F       | 21              | -10.393088      | 986.7862         | 62.78618        | 20.786177      
JTTDCMUT+I+G+F  | 21              | -10.407634      | 986.81525        | 62.81527        | 20.815268      
JTT+I+G+F       | 21              | -10.418681      | 986.83734        | 62.837364       | 20.837362      
STMTREV+I+G+F   | 21              | -10.445526      | 986.89105        | 62.891052       | 20.891052      
MTMAM+I+G+F     | 21              | -10.453951      | 986.9079         | 62.9079         | 20.907902      
HIVB+I+G+F      | 21              | -10.456199      | 986.9124         | 62.9124         | 20.912397      
HIVW+I+G+F      | 21              | -10.459086      | 986.91815        | 62.918175       | 20.918173      
